_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a1ffc0496f1ede6094e00e8,false,56.96,95.97,56.96,68.56,119;0;0;0,words,25,-1,0,25.07,0,0,false,false,english,,normal,false,false,false,,1780481028000
6a1ffbe896f1ede6094dffd2,false,50.93,96.06,50.93,63.64,121;0;0;0,words,25,-1,0,28.51,0,0,false,false,english,,normal,false,false,false,,1780481000000
6a1ffbc896f1ede6094dfec8,false,60.02,100,60.02,78.93,133;0;0;0,words,25,-1,0,26.59,0,0,false,false,english,,normal,false,false,false,,1780480968000
6a1ffbaa96f1ede6094dfdb9,false,49.5,95,49.5,66.15,132;0;0;0,words,25,-1,0,32,0,0,false,false,english,,normal,false,false,false,,1780480938000
6a1ff82496f1ede6094ddacc,false,52.04,100,52.04,76.82,122;0;0;0,words,25,-1,0,28.13,0,0,false,false,english,,normal,false,false,false,,1780480036000
6a1ff80496f1ede6094dd998,false,45.05,93.08,45.05,63.57,121;0;0;0,words,25,-1,0,32.23,0,0,false,false,english,,normal,false,false,false,,1780480004000
6a1fbd0402c8b17f6ccc181f,false,52.37,98.5,52.37,68.08,131;0;0;0,words,25,-1,0,30.02,0,0,false,false,english,,normal,false,false,false,,1780464900000
6a1fbc8102c8b17f6ccc13fe,false,50.46,95.52,50.46,64.74,128;0;0;0,words,25,-1,0,30.44,0,0,false,false,english,,normal,false,false,false,,1780464769000
6a1fbc4602c8b17f6ccc1207,false,47.89,93.28,47.89,70.12,125;0;0;0,words,25,-1,0,31.32,0,0,false,false,english,,normal,false,false,false,,1780464710000
6a1fbbf502c8b17f6ccc0f7f,false,41.65,91.89,41.65,62.06,133;0;0;0,words,25,-1,0,38.32,0,0,false,false,english,,normal,false,false,false,,1780464629000
6a1fbb7302c8b17f6ccc0b97,false,47.04,93.89,47.04,68.82,122;0;0;0,words,25,-1,0,31.12,0,0,false,false,english,,normal,false,false,false,,1780464499000
6a1fbb4302c8b17f6ccc0a1a,false,47.42,98.47,47.42,66.33,128;0;0;0,words,25,-1,0,32.39,0,0,false,false,english,,normal,false,false,false,,1780464451000
6a1fba8102c8b17f6ccc03f2,false,50.14,97.18,50.14,69.91,138;0;0;0,words,25,-1,0,33.03,0,0,false,false,english,,normal,false,false,false,,1780464257000
6a1ebd0671e1d2cb60cd748e,false,55.41,97.18,55.41,72.89,137;0;0;0,words,25,-1,0,29.67,0,0,false,false,english,,normal,false,false,false,,1780399366000
6a1ebcc671e1d2cb60cd7202,false,51.53,97.66,51.53,64.32,125;0;0;0,words,25,-1,0,29.11,0,0,false,false,english,,normal,false,false,false,,1780399302000
6a1ebba071e1d2cb60cd66af,false,51.96,97.14,51.96,70.82,136;0;0;0,words,25,-1,0,31.41,0,0,false,false,english,,normal,false,false,false,,1780399008000
6a1ebb7e71e1d2cb60cd6568,false,54.62,99.26,54.62,73.82,134;0;0;0,words,25,-1,0,29.44,0,0,false,false,english,,normal,false,false,false,,1780398974000
6a1ebaaf71e1d2cb60cd5d9b,false,46.21,93.38,46.21,69.08,127;0;0;0,words,25,-1,0,32.98,0,0,false,false,english,,normal,false,false,false,,1780398767000
6a1eaa0b71e1d2cb60ccbcb7,false,49.06,92.25,49.06,67.39,130;0;0;0,words,25,-1,0,31.8,0,0,false,false,english,,normal,false,false,false,,1780394507000
6a1d7c1672016ea84dd99e49,false,49.33,93.84,49.33,65.5,136;0;0;0,words,25,-1,0,33.08,0,0,false,false,english,,normal,false,false,false,,1780317206000
6a1d7be372016ea84dd99bd7,false,52.12,96.95,52.12,67.68,127;0;0;0,words,25,-1,0,29.24,0,0,false,false,english,,normal,false,false,false,,1780317155000
6a1d7bc372016ea84dd99a73,false,49.1,94.07,49.1,61.76,127;0;0;0,words,25,-1,0,31.04,0,0,false,false,english,,normal,false,false,false,,1780317123000
6a1d7ba172016ea84dd99913,false,57.92,97.71,57.92,69.6,128;0;0;0,words,25,-1,0,26.52,0,0,false,false,english,,normal,false,false,false,,1780317089000
6a1d7b8472016ea84dd997bf,false,52.99,95.83,52.99,64.25,136;0;0;0,words,25,-1,0,30.8,0,0,false,false,english,,normal,false,false,false,,1780317060000
6a1d71eb72016ea84dd92f28,false,57.08,95.17,57.08,74.92,138;0;0;0,words,25,-1,0,29.01,0,0,false,false,english,,normal,false,false,false,,1780314603000
6a1d529772016ea84dd7ff4a,false,50.43,96.38,50.43,69.91,133;0;0;0,words,25,-1,0,31.65,0,0,false,false,english,,normal,false,false,false,,1780306583000
6a1d525572016ea84dd7fca2,false,52.21,96.38,52.21,68.19,132;0;0;0,words,25,-1,0,30.34,0,0,false,false,english,,normal,false,false,false,,1780306517000
6a1d523072016ea84dd7fb4e,false,59.11,100,59.11,78.24,130;0;0;0,words,25,-1,0,26.39,0,0,false,false,english,,normal,false,false,false,,1780306480000
6a1d521372016ea84dd7fa2c,false,45.77,91.43,45.77,60.84,128;0;0;0,words,25,-1,0,33.56,0,0,false,false,english,,normal,false,false,false,,1780306451000
6a1d500f72016ea84dd7e6fb,false,56.99,97.3,56.99,77.66,144;0;0;0,words,25,-1,0,30.32,0,0,false,false,english,,normal,false,false,false,,1780305935000
